tags: ἕρμαιον ἕρμαιον-5 vocabulaire

ἡ ἡμέρᾱ|le jour
ἡ ἄγκυρᾰ|l'ancre
ἡ κεφαλή|la tête
ἡ γλῶττᾰ|la langue
ἡ αἰτ<span class="désinence">ίᾱ</span> (ῐ)|la cause
αἴτιος|qui cause (responsable de)
αἰτιά-ομαι|j'accuse
ἡ ὀργή|la colère
ὀργίζομαι|je me mets en colère
ἡ λύπη (ῡ)|le chagrin
ἡ τύχη (ῠ)|le hasard, la fortune (au pluriel signifie souvent les événements, les vicissitudes du sort)
ἡ ἀνάγκη (ᾰ)|la nécessité
μέγιστος|très grand
ὁ ἰατρός|le médecin
ἡ ἰά<span class="désinence">τριᾰ</span>|la femme médecin
ἡ ἰατρ<span class="désinence">είᾱ</span>|le traitement médical
ἰά-ομαι|je guéris
ἡ νόσος|la maladie
νοσέ-ω|je suis malade
ἀγαθός|bon
λαμπρός|brillant, illustre
τίκτω|j'engendre
πίπτω|je tombe
ἡ γῆ|la terre
τὸ ἔργον|le travail
ἐργάζομαι|je travaille
ἡ γεωργ<span class="désinence">ίᾱ</span>|l'agriculture
τὸ πρόϐατον|le mouton (plus précisément la tête de petit bétail&nbsp;: mouton ou chèvre)
ἄλλος (ᾰ)|autre
φρόνῐμος|intelligent
πλεῖστοι|très nombreux
οἱ πλεῖστοι|la plupart des gens
τὰ πλεῖστα|la plupart des choses
πολλάκις|souvent
ἐνίοτε|parfois
θεραπεύω|je soigne, j'honore
δια-φθείρω|je ravage, je corromps
τρέφω|je nourris
γάρ|en effet

ἡ τόλμᾰ|l'audace
ἡ μοῦσᾰ|la Muse
ἡ ἅμαξᾰ|le chariot
ἡ θάλαττᾰ|la mer
ἡ στοά|le portique
ἡ βοήθ<span class="désinence">ειᾰ</span>|le secours
ἡ ἑσπέρᾱ|le soir
ἡ θήρᾱ|la chasse
ἡ θεράπ<span class="désinence">αινᾰ</span>|la servante
ἡ μοῖρᾰ|le destin
ἡ πεῖρᾰ|l'expérience
ἡ κρήνη|la fontaine
ἡ σελήνη|la lune
ἡ ἑταίρᾱ|la courtisane
ἡ δραχμή|la drachme
ἡ ἀγορά|le marché
ἡ δόξᾰ|l'opinion

ἡ σκ<span class="désinence">ιά</span>|l'ombre
ἡ σφαῖρᾰ|la sphère
ἡ δαπάνη (ᾰ)|la dépense
ἡ τράπεζᾰ|la table
ἡ μέλιττᾰ|l'abeille

ἰσχυρός|fort, robuste
βέϐαιος|stable
φαῦλος|médiocre, sans valeur
θερμός|chaud
ἕτερος|différent

ἡ ὁδός|la route
φοϐέ-ομαι|je crains

ἡ ἀρετή|la vertu
ἡ ἐπιστήμη|la science
ἡ ῥίζᾰ|la racine
ἡ ἀράχνη|l'araignée
ἡ μυῖᾰ|la mouche
ἡ ἐλαίᾱ|l'olivier
ὁ φλοῖσϐος|le bruit des flots
ἀκούω|j'entends
ῥίπτω|je jette
κλείω|je ferme
ἡ θύρα|la porte
ἡ εὐχή|la prière
ἡ θυσίᾱ|le sacrifice
ἡ θεά|la déesse
ἱλάσκομαι|je me concilie
ἡ αὔρᾱ|la brise
ὑπο-σείω|je secoue légèrement
ἡ κόμη|la chevelure
ἡ νῆσος|l'île
ἡ πληγή|le coup

στεφανό-ω|je couronne
τὸ ἄροτρον|l'araire
ἡ χάλαζᾰ|la grêle
